accession	first_public	tax_id	scientific_name	base_count	last_updated	description
AY750121	2005-12-31	65966	Drosophila tsigana	911	2006-07-20	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750128	2005-12-31	65966	Drosophila tsigana	911	2006-07-20	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.
AY750143	2005-12-31	311480	Drosophila medioconstricta	911	2006-07-20	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.
HQ631474	2011-08-30	65963	Drosophila fuyamai	290	2012-01-02	Drosophila fuyamai alcohol dehydrogenase (adh) gene, partial cds.
HQ631477	2011-08-30	212812	Drosophila liui	290	2012-01-02	Drosophila liui alcohol dehydrogenase (adh) gene, partial cds.
HQ631482	2011-08-30	65964	Drosophila pseudoananassae	290	2012-01-02	Drosophila pseudoananassae alcohol dehydrogenase (adh) gene, partial cds.
HQ631483	2011-08-30	94111	Drosophila prostipennis	290	2012-01-02	Drosophila prostipennis alcohol dehydrogenase (adh) gene, partial cds.
HQ631486	2011-08-30	94110	Drosophila trapezifrons	290	2012-01-02	Drosophila trapezifrons alcohol dehydrogenase (adh) gene, partial cds.
HQ631487	2011-08-30	94114	Drosophila trilutea	290	2012-01-02	Drosophila trilutea alcohol dehydrogenase (adh) gene, partial cds.
JF710263	2011-07-03	50033	Drosophila kanekoi	890	2011-07-03	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, complete cds.
AF264081	2000-05-30	46794	Drosophila tropicalis	405	2005-04-15	Drosophila tropicalis alcohol dehydrogenase (Adh) gene, partial cds.
AF264082	2000-05-30	7260	Drosophila willistoni	405	2005-04-15	Drosophila willistoni alcohol dehydrogenase (Adh) gene, partial cds.
AY006426	2001-09-04	46814	Drosophila primaeva	508	2005-09-26	Drosophila primaeva alcohol dehydrogenase (Adh) gene, partial cds.
AY081438	2002-08-09	103845	Drosophila nannoptera	288	2005-04-16	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.
AY750125	2005-12-31	107829	Drosophila moriwakii	911	2006-07-20	Drosophila moriwakii alcohol dehydrogenase (Adh) gene, partial cds.
AY750133	2005-12-31	311479	Drosophila gani	911	2006-07-20	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.
M73256	1991-07-12	7227	Drosophila melanogaster	1375	2006-11-14	D.melanogaster alcohol dehydrogenase (Adh) gene, exon 2.
MG684382	2018-02-04	30044	Drosophila rubida	693	2018-02-04	Drosophila rubida alcohol dehydrogenase (Adh) gene, partial cds.
AB026526	1999-10-29	30024	Drosophila emarginata	840	2005-04-14	Drosophila emarginata gene for alcohol dehydrogenase, partial cds.
AF059890	1998-04-28	7256	Drosophila pinicola	290	2005-04-15	Drosophila pinicola alcohol dehydrogenase (Adh) gene, partial cds.
AF264073	2000-05-30	46840	Drosophila capricorni	405	2005-04-15	Drosophila capricorni alcohol dehydrogenase (Adh) gene, partial cds.
AF264074	2000-05-30	46790	Drosophila equinoxialis	405	2005-04-15	Drosophila equinoxialis alcohol dehydrogenase (Adh) gene, partial cds.
AY006412	2001-09-04	46808	Drosophila oahuensis	510	2005-09-26	Drosophila oahuensis alcohol dehydrogenase (Adh) gene, partial cds.
AY750122	2005-12-31	119604	Drosophila lacertosa	911	2006-07-20	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.
AY750129	2005-12-31	311475	Drosophila yunnanensis	911	2006-07-20	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.
DQ471664	2006-07-20	7253	Drosophila mercatorum	711	2006-07-20	Drosophila mercatorum alcohol dehydrogenase (Adh) gene, partial cds.
HQ631469	2011-08-30	125945	Drosophila biarmipes	290	2012-01-02	Drosophila biarmipes alcohol dehydrogenase (adh) gene, partial cds.
HQ631479	2011-08-30	307244	Drosophila ogumai	290	2012-01-02	Drosophila ogumai alcohol dehydrogenase (adh) gene, partial cds.
HQ631485	2011-08-30	137070	Drosophila tani	290	2012-01-02	Drosophila tani alcohol dehydrogenase (adh) gene, partial cds.
L08648	1993-01-15	7260	Drosophila willistoni	1308	2006-11-14	Drosophila willistoni alcohol dehydrogenase (Adh) gene, complete cds.
M36581	1990-08-30	7240	Drosophila simulans	2719	2006-11-14	D.simulans alcohol dehydrogenase (Adh) gene, complete cds.
U26843	1995-06-22	40371	Drosophila lummei	950	2005-04-17	Drosophila lummei alcohol dehydrogenase (Adh) gene, complete cds.
X68159	1992-10-08	7237	Drosophila pseudoobscura	3476	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS298)
AY754404	2005-04-04	7246	Drosophila affinis	2529	2006-10-20	Drosophila affinis alcohol dehydrogenase (Adh) gene, complete cds.
EU532133	2010-01-21	126477	Drosophila fumipennis	590	2010-01-21	Drosophila fumipennis alcohol dehydrogenase (Adh) gene, partial cds.
U94206	1998-02-23	58310	Drosophila soonae	204	2005-04-18	Drosophila soonae alcohol dehydrogenase (Adh) gene, partial cds.
AY750140	2005-12-31	311483	Drosophila unimaculata	911	2006-07-20	Drosophila unimaculata alcohol dehydrogenase (Adh) gene, partial cds.
DQ471657	2006-07-20	30016	Drosophila aracataca	711	2006-07-20	Drosophila aracataca alcohol dehydrogenase (Adh) gene, partial cds.
U94196	1998-02-23	46895	Drosophila cyrtoloma	222	2005-04-18	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.
X68161	1992-10-08	7237	Drosophila pseudoobscura	3463	2006-11-14	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS302)
GQ376038	2009-08-02	7240	Drosophila simulans	410	2009-08-03	Drosophila simulans alcohol dehydrogenase (ADH) gene, partial cds.
AY238770	2003-04-08	7229	Drosophila miranda	2042	2005-04-16	Drosophila miranda strain 0101.3 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AB261132	2007-11-03	98362	Drosophila ruberrima	858	2007-11-03	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds.
AB932674	2014-10-26	30046	Drosophila sternopleuralis	755	2014-10-26	Drosophila sternopleuralis Adh gene for alcohol dehydrogenase, partial cds.
KM016470	2014-09-24	7240	Drosophila simulans	476	2014-09-24	Drosophila simulans isolate KY06 alcohol dehydrogenase-related gene, intron.
U95272	1999-01-06	46793	Drosophila paulistorum	1166	2005-04-18	Drosophila paulistorum Tame alcohol dehydrogenase (Adh) gene, complete cds.
AF260693	2000-09-20	7257	Drosophila robusta	458	2005-04-15	Drosophila robusta alcohol dehydrogenase-related protein gene, partial cds.
KM016474	2014-09-24	7240	Drosophila simulans	481	2014-09-24	Drosophila simulans isolate KY04 alcohol dehydrogenase-related gene, intron.
M60992	1992-04-30	46244	Drosophila pseudoobscura bogotana	3485	2006-11-14	Drosophila pseudoobscura bogotana alcohol dehydrogenase (adh) gene, complete cds.
X03630	1986-11-18	7230	Drosophila mojavensis	285	2005-04-18	Drosophila mojavensis duplicated Adh-2 gene fragment (alcohol dehydrogenase)
AB033639	1999-11-16	55950	Drosophila sordidula	711	2006-07-17	Drosophila sordidula Adh mRNA for alcohol dehydrogenase, partial cds.
AB261133	2007-11-03	157293	Drosophila hypocausta	850	2007-11-03	Drosophila hypocausta Adh gene for alcohol dehydrogenase, partial cds.
AB261138	2007-11-03	154130	Drosophila neonasuta	856	2007-11-03	Drosophila neonasuta Adh gene for alcohol dehydrogenase, partial cds.
AB932652	2015-01-14	126591	Drosophila curvispina	845	2015-01-14	Drosophila curvispina Adh gene for alcohol dehydrogenase, partial cds.
AB932653	2014-10-26	198716	Drosophila deflecta	848	2014-10-26	Drosophila deflecta Adh gene for alcohol dehydrogenase, partial cds.
AB932661	2014-10-26	434062	Drosophila macrospina	847	2014-10-26	Drosophila macrospina Adh gene for alcohol dehydrogenase, partial cds.
AB932671	2014-10-26	55946	Drosophila recens	839	2014-10-26	Drosophila recens Adh gene for alcohol dehydrogenase, partial cds.
AF260690	2000-09-20	7224	Drosophila hydei	450	2005-04-15	Drosophila hydei alcohol dehydrogenase-related protein gene, partial cds.
HQ232350	2011-08-08	1052065	Drosophila hypercephala	437	2011-08-08	Drosophila hypercephala isolate c1 alcohol dehydrogenase gene, partial cds.
KM016467	2014-09-24	7240	Drosophila simulans	481	2014-09-24	Drosophila simulans isolate KY35 alcohol dehydrogenase-related gene, intron.
X57365	1991-07-17	7245	Drosophila yakuba	975	2006-11-14	Drosophila yakuba (individual a) Adh gene for alcohol dehydrogenase
X57367	1991-07-17	7245	Drosophila yakuba	975	2006-11-14	Drosophila yakuba (individual c) Adh gene for alcohol dehydrogenase
X57368	1991-07-17	7245	Drosophila yakuba	975	2006-11-14	Drosophila yakuba (individual d) Adh gene for alcohol dehydrogenase
AB033640	1999-11-16	7244	Drosophila virilis	711	2006-07-17	Drosophila virilis Adh mRNA for alcohol dehydrogenase, partial cds.
AB932676	2014-10-26	614641	Drosophila tenebrosa	849	2014-10-26	Drosophila tenebrosa Adh gene for alcohol dehydrogenase, partial cds.
X57371	1991-07-17	7245	Drosophila yakuba	975	2006-11-14	Drosophila yakuba (individual g) Adh gene for alcohol dehydrogenase
U26845	1995-06-22	40370	Drosophila montana	957	2005-04-17	Drosophila montana alcohol dehydrogenase (Adh-2) gene, complete cds.
U76484	1997-03-06	7224	Drosophila hydei	251	2000-03-04	Drosophila hydei alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
U95254	1999-01-06	7260	Drosophila willistoni	1172	2005-04-18	Drosophila willistoni A57 alcohol dehydrogenase (Adh) gene, complete cds.
X57364	1991-07-17	7240	Drosophila simulans	975	2006-11-14	Drosophila simulans (individual f) Adh gene for alcohol dehydrogenase
X57366	1991-07-17	7245	Drosophila yakuba	975	2006-11-14	Drosophila yakuba (individual b) ADH gene for alcohol dehydrogenase
X57363	1991-07-17	7240	Drosophila simulans	972	2006-11-14	Drosophila simulans (individual e) Adh gene for alcohol dehydrogenase
X60791	1991-10-07	7227	Drosophila melanogaster	1925	2006-11-14	D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase
AF201445	2000-07-03	7240	Drosophila simulans	465	2006-11-14	Drosophila simulans isolate MD111 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095939	2003-05-01	193351	Drosophila transversa	435	2008-12-16	Drosophila transversa isolate tra1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471638	2006-07-20	381448	Drosophila angor	711	2006-07-20	Drosophila angor strain 33 alcohol dehydrogenase (Adh) gene, partial cds.
EU532121	2010-01-21	46793	Drosophila paulistorum	558	2010-01-21	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
JF710264	2011-07-03	40368	Drosophila borealis	895	2011-07-03	Drosophila borealis strain W alcohol dehydrogenase (Adh) gene, complete cds.
KX976491	2016-11-12	7245	Drosophila yakuba	771	2016-11-12	Drosophila yakuba isolate Yakuba_Montecafe_17_17 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976493	2016-11-12	7245	Drosophila yakuba	771	2016-11-12	Drosophila yakuba isolate Yakuba_Cascade_18 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976495	2016-11-12	7245	Drosophila yakuba	771	2016-11-12	Drosophila yakuba isolate Yakuba_Cascade_19 alcohol dehydrogenase (Adh) mRNA, complete cds.
Z00030	1986-07-02	7227	Drosophila melanogaster	7423	2006-11-14	D. melanogaster alcohol dehydrogenase structural gene and flanks (composite sequence)
AF201442	2000-07-03	7240	Drosophila simulans	478	2006-11-14	Drosophila simulans isolate RU01 alcohol dehydrogenase (Adhr) gene, intron 1.
DQ471621	2006-07-20	309936	Drosophila daruma	711	2006-07-20	Drosophila daruma strain 137 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471645	2006-07-20	381453	Drosophila beppui	711	2006-07-20	Drosophila beppui strain 260 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471652	2006-07-20	119604	Drosophila lacertosa	711	2006-07-20	Drosophila lacertosa strain 240 alcohol dehydrogenase (Adh) gene, partial cds.
EU532124	2010-01-21	46793	Drosophila paulistorum	588	2010-01-21	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.
JX455219	2012-09-03	7240	Drosophila simulans	481	2014-01-02	Drosophila simulans isolate HW50 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976501	2016-11-12	7245	Drosophila yakuba	771	2016-11-12	Drosophila yakuba isolate Yakuba_Abidjan_12 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60987	1992-01-26	7237	Drosophila pseudoobscura	3466	2006-11-14	Drosophila pseudoobscura (strain AH162) alcohol dehydrogenase (adh) gene, complete cds.
U95263	1999-01-06	7260	Drosophila willistoni	1172	2005-04-18	Drosophila willistoni Manaus III alcohol dehydrogenase (Adh) gene, complete cds.
AB154557	2004-04-01	30033	Drosophila kikkawai	686	2005-04-14	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh16.
AB154558	2004-04-01	30033	Drosophila kikkawai	683	2005-04-14	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh17.
AB154562	2004-04-01	30033	Drosophila kikkawai	683	2005-04-14	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh21.
AF284476	2000-11-02	7226	Drosophila mauritiana	701	2006-11-14	Drosophila mauritiana strain 197 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471610	2006-07-20	119604	Drosophila lacertosa	711	2006-07-20	Drosophila lacertosa strain 170 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471618	2006-07-20	309936	Drosophila daruma	711	2006-07-20	Drosophila daruma strain 109 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471619	2006-07-20	381449	Drosophila asper	711	2006-07-20	Drosophila asper strain 152 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471623	2006-07-20	309936	Drosophila daruma	711	2006-07-20	Drosophila daruma strain 151 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471639	2006-07-20	381452	Drosophila barutani	711	2006-07-20	Drosophila barutani strain 52 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471649	2006-07-20	381466	Drosophila karakasa	711	2006-07-20	Drosophila karakasa strain 249 alcohol dehydrogenase (Adh) gene, partial cds.
EU532126	2010-01-21	46793	Drosophila paulistorum	507	2010-01-21	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
KX384730	2017-01-03	42026	Drosophila bipectinata	873	2017-01-03	Drosophila bipectinata strain IND_DBP_U14 alcohol dehydrogenase (Adh) gene, partial cds.
KX976520	2016-11-12	7245	Drosophila yakuba	771	2016-11-12	Drosophila yakuba isolate Yakuba_2_6 alcohol dehydrogenase (Adh) mRNA, complete cds.
M60983	1992-01-26	7237	Drosophila pseudoobscura	3487	2006-11-14	Drosophila pseudoobscura (strain AH122) alcohol dehydrogenase (adh) gene, complete cds.
M60997	1992-01-24	7234	Drosophila persimilis	3506	2006-11-14	Drosophila persimilis (strain 178) alcohol dehydrogenase (adh) gene, complete cds.
U95252	1999-01-06	7260	Drosophila willistoni	1172	2005-04-18	Drosophila willistoni 0811.4 alcohol dehydrogenase (Adh) gene, complete cds.
AB154549	2004-04-01	30033	Drosophila kikkawai	686	2005-04-14	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh08.
AY095946	2003-05-01	126591	Drosophila curvispina	443	2008-12-16	Drosophila curvispina isolate cur1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471620	2006-07-20	381452	Drosophila barutani	711	2006-07-20	Drosophila barutani strain 53 alcohol dehydrogenase (Adh) gene, partial cds.
AY095951	2003-05-01	7283	Drosophila phalerata	430	2008-12-16	Drosophila phalerata isolate pha1 alcohol dehydrogenase (Adh) gene, partial cds.
AY335196	2003-12-31	46840	Drosophila capricorni	776	2005-04-16	Drosophila capricorni clone Dcap3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471616	2006-07-20	381448	Drosophila angor	711	2006-07-20	Drosophila angor strain 112 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471640	2006-07-20	311480	Drosophila medioconstricta	711	2006-07-20	Drosophila medioconstricta strain 148 alcohol dehydrogenase (Adh) gene, partial cds.
U95269	1999-01-06	46790	Drosophila equinoxialis	1167	2005-04-18	Drosophila equinoxialis Puerto Rico alcohol dehydrogenase (Adh) gene, complete cds.
AB154548	2004-04-01	30033	Drosophila kikkawai	686	2005-04-14	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh07.
AF201435	2000-07-03	7240	Drosophila simulans	480	2006-11-14	Drosophila simulans isolate DSW alcohol dehydrogenase (Adhr) gene, intron 1.
AF201447	2000-07-03	7240	Drosophila simulans	480	2006-11-14	Drosophila simulans isolate MD199 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095940	2003-05-01	42027	Drosophila kuntzei	431	2008-12-16	Drosophila kuntzei isolate kun1 alcohol dehydrogenase (Adh) gene, partial cds.
AY335199	2003-12-31	30047	Drosophila sturtevanti	792	2005-04-16	Drosophila sturtevanti clone Dsturt1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471612	2006-07-20	381448	Drosophila angor	711	2006-07-20	Drosophila angor strain A138 alcohol dehydrogenase (Adh) gene, partial cds.
EU532122	2010-01-21	46793	Drosophila paulistorum	573	2010-01-21	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
EU532123	2010-01-21	46793	Drosophila paulistorum	588	2010-01-21	Drosophila paulistorum from Honduras alcohol dehydrogenase (Adh) gene, partial cds.
JX455210	2012-09-03	7240	Drosophila simulans	480	2014-01-02	Drosophila simulans isolate HW01 alcohol dehydrogenase (Adhr) gene, intron 1.
JX455211	2012-09-03	7240	Drosophila simulans	480	2014-01-02	Drosophila simulans isolate HW02 alcohol dehydrogenase (Adhr) gene, intron 1.
KX976505	2016-11-12	7245	Drosophila yakuba	771	2016-11-12	Drosophila yakuba isolate Yakuba_Bosu_1235_14 alcohol dehydrogenase (Adh) mRNA, complete cds.
U95268	1999-01-06	46790	Drosophila equinoxialis	1174	2005-04-18	Drosophila equinoxialis 0741.0 alcohol dehydrogenase (Adh) gene, complete cds.
U95274	1999-01-06	46794	Drosophila tropicalis	1162	2005-04-18	Drosophila tropicalis 0801.0 alcohol dehydrogenase (Adh) gene, complete cds.
AF136672	1999-06-03	95109	Drosophila americana americana	884	2005-04-15	Drosophila americana americana G96.13X alcohol dehydrogenase (Adh) gene, partial cds.
AF136674	1999-06-03	95109	Drosophila americana americana	884	2005-04-15	Drosophila americana americana G96.10X alcohol dehydrogenase (Adh) gene, partial cds.
AF136705	1999-06-03	40372	Drosophila americana texana	884	2005-04-15	Drosophila americana texana LP97.02 alcohol dehydrogenase (Adh) gene, partial cds.
AF175211	1999-10-06	7227	Drosophila melanogaster	951	1999-12-21	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h12 allele, complete cds.
AF175212	1999-10-06	7227	Drosophila melanogaster	951	1999-12-21	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h13 allele, complete cds.
AF459756	2002-05-16	195712	Drosophila phaeopleura	290	2006-11-14	Drosophila phaeopleura alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
KJ767240	2014-09-04	7227	Drosophila melanogaster	872	2014-10-29	Drosophila melanogaster strain Zimbabwe-109 alcohol dehydrogenase (Adh) gene, partial cds.
KY002643	2017-10-13	7227	Drosophila melanogaster	708	2017-10-13	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_AMD10 alcohol dehydrogenase-like gene, complete sequence.
KY002644	2017-10-13	7217	Drosophila ananassae	740	2017-10-13	UNVERIFIED: Drosophila ananassae strain IND_DANA_KL18 alcohol dehydrogenase-like gene, partial sequence.
AB669852	2014-01-02	111875	Drosophila jambulina	830	2014-01-02	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: NHO115.
AF136658	1999-06-03	95109	Drosophila americana americana	884	2005-04-15	Drosophila americana americana G96.40X alcohol dehydrogenase (Adh) gene, partial cds.
AF136665	1999-06-03	95109	Drosophila americana americana	884	2005-04-15	Drosophila americana americana G96.06X alcohol dehydrogenase (Adh) gene, partial cds.
AF136706	1999-06-03	40372	Drosophila americana texana	884	2005-04-15	Drosophila americana texana LP97.09 alcohol dehydrogenase (Adh) gene, partial cds.
U64547	1996-08-16	7237	Drosophila pseudoobscura	3471	2005-04-18	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS323 allele, complete cds.
U64551	1996-08-16	7237	Drosophila pseudoobscura	3473	2005-04-18	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS334 allele, complete cds.
Y00602	1987-09-19	7237	Drosophila pseudoobscura	3535	2006-11-14	D. pseudoobscura Adh gene for alcohol dehydrogenase (EC1.1.1.1)
AB669840	2014-01-02	67534	Drosophila triauraria	842	2014-01-02	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KMJ1.
AB669853	2014-01-02	60717	Drosophila punjabiensis	836	2014-01-02	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: CJB212.
AB669868	2014-01-02	74550	Drosophila lini	843	2014-01-02	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: DHS501.
AB669881	2014-01-02	137353	Drosophila baimaii	838	2014-01-02	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: Y150.
AB669883	2014-01-02	112146	Drosophila bicornuta	838	2014-01-02	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG2.
AB669889	2014-01-02	137077	Drosophila parvula	864	2014-01-02	Drosophila parvula Adh gene for alcohol dehydrogenase, partial cds, strain: SHL17.
AF136687	1999-06-03	95109	Drosophila americana americana	884	2005-04-15	Drosophila americana americana G96.06Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136696	1999-06-03	95109	Drosophila americana americana	884	2005-04-15	Drosophila americana americana G96.30Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136708	1999-06-03	40372	Drosophila americana texana	884	2005-04-15	Drosophila americana texana LP97.04 alcohol dehydrogenase (Adh) gene, partial cds.
AF175216	1999-10-06	7227	Drosophila melanogaster	951	1999-12-21	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k15 allele, complete cds.
AF175217	1999-10-06	7227	Drosophila melanogaster	951	1999-12-21	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k30 allele, complete cds.
AF459786	2002-05-16	30025	Drosophila ficusphila	290	2006-11-14	Drosophila ficusphila alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
